ID,ID,ORGINAL LABEL,EN,SW
Kpa6sheYah0,Kpa6sheYah0,Road Traffic Accidents,Road Traffic Accidents,Ajali Barabani
Wyorktq1rUA,Wyorktq1rUA,Eye Infection,Eye Infection,Ambukizo la jicho
f6Q9p6uSWtS,f6Q9p6uSWtS,Chronic Ear Infection,Chronic Ear Infection,Ambukizo sugu la skio
SAD8J9zO6MF,SAD8J9zO6MF,Marasmus ,Marasmus ,Chirwa
VmFo3tNlgIW,VmFo3tNlgIW,Ill Defined Symptoms (No Diagnosis),Ill Defined Symptoms (No Diagnosis),Dalili sizizoeleweka
ItK93OX9wyu,ItK93OX9wyu,Symptomatic Hiv Infection,Symptomatic Hiv Infection,Dalili za maambukizi ya VVU
nWRerupXUoy,nWRerupXUoy,Other Emergencies,Other Emergencies,Dharura nyingine
eTOV59Rcv4F,eTOV59Rcv4F,Neuroses,Neuroses,Fadhaa
ccIfQsrfWeL,ccIfQsrfWeL,Relapsing Fever (Louse Borne Typhus),Relapsing Fever (Louse Borne Typhus),Homa ya kurudia
O9HZJ5frgiJ,O9HZJ5frgiJ,Yellow Fever,Yellow Fever,Homa ya manjano
mcVhgPQtLLX,mcVhgPQtLLX,Typhoid,Typhoid,Homa ya matumbo
NlXYR3IJWCl,NlXYR3IJWCl,Rheumatic Fever,Rheumatic Fever,Homa ya rumatizimu
ykShMtNgDB1,ykShMtNgDB1,Idadi ya Watu,Population,Idadi ya Watu
iP9wSaCAZl5,iP9wSaCAZl5,Caries,Caries,Karisi
LD4thW4OmXi,LD4thW4OmXi,Psychoses,Psychoses,Kichaa
Wa3cm09YbsP,Wa3cm09YbsP,Rabies,Rabies,Kichaa cha mbwa
ctT1j57B2OL,ctT1j57B2OL,Schistosomiasis,Schistosomiasis,Kichocho
fLjZYZB3tuB,fLjZYZB3tuB,"Pneumonia, Non-Severe","Pneumonia, Non-Severe","Kichomi, isiyokali"
sr87SW2uEmt,sr87SW2uEmt,"Pneumonia, Severe","Pneumonia, Severe","Kichomi, Kali"
x5cswY9qs7m,x5cswY9qs7m,Epilepsy,Epilepsy,Kifafa
ACM4BHrKZNQ,ACM4BHrKZNQ,Tuberculosis,Tuberculosis,Kifua kikuu
mMkFYcDVj3e,mMkFYcDVj3e,Cholera,Cholera,Kipindupindu
zfhmMA4HeJn,zfhmMA4HeJn,Diabetes Mellitus,Diabetes Mellitus,Kisukari
zqaHIXl6j7c,zqaHIXl6j7c,Burn,Burn,Kuchomeka
SgeSIiqTN2l,SgeSIiqTN2l,Acute Diarrhoea (<14 Days),Acute Diarrhoea (<14 Days),Kuharisha
NLBkuHemCAx,NLBkuHemCAx,Diarrhea With No Dehydration,Diarrhea With No Dehydration,Kuharisha bila upungufu wa maji mwilini
v6sdLtxvY1K,v6sdLtxvY1K,Dysentery,Dysentery,Kuharisha damu
C2Rg2uPfbhs,C2Rg2uPfbhs,Diarrhea Chronic (>= 14 Days),Diarrhea Chronic (>= 14 Days),Kuharisha kwa muda mrefu
f8yQ5FUAIx0,f8yQ5FUAIx0,Diarrhea With Severe Dehydration,Diarrhea With Severe Dehydration,Kuharisha na upungufu mkali wa maji mwilini
zQQFpz3JT6g,zQQFpz3JT6g,Diarrhea With Some Dehydration,Diarrhea With Some Dehydration,Kuharisha na upungufu wa maji mwilini
fWq6ZXy0Uzp,fWq6ZXy0Uzp,Animal Bites(No Suspected Rabies),Animal Bites(No Suspected Rabies),Kung'atwa na wanyama (isiyo watuhumiwa kichaa cha mbwa)
QqqAeR0wrwS,QqqAeR0wrwS,Animal Bite (Suspected Rabies),Animal Bite (Suspected Rabies),Kung'atwa na wanyama (watuhumiwa kichaa cha mbwa)
Y6xpjIVTsJ7,Y6xpjIVTsJ7,Cerebral Palsy,Cerebral Palsy,Kupooza kwa ubongo
q3ELeLciuTh,q3ELeLciuTh,Acute Flaccid Paralysis,Acute Flaccid Paralysis,Kupooza tepetevu kwa ghafla
MG98iWgxXNT,MG98iWgxXNT,Abortion,Abortion,Kutoa mimba
wwl4tRTnPEo,wwl4tRTnPEo,Referred Out from OPD,Referred Out from OPD,Kutumwa kutoka OPD
Fuwwc9CgYUN,Fuwwc9CgYUN,Snake and Insect Bites,Snake and Insect Bites,Kuumwa na nyoka na wadudu
CWXG9lBSI7Y,CWXG9lBSI7Y,Birth Asphyxia,Birth Asphyxia,Kuzaliwa ya kukosa hewa
FkKfVoslpKi,FkKfVoslpKi,Kwashiorkor,Kwashiorkor,Kwashakoo
RifXFxv1lQq,RifXFxv1lQq,Acute Respiratory Infection,Acute Respiratory Infection,Maambukizi ghafla ya kupumua
n611GaZn5Xr,n611GaZn5Xr,Acute Ear Infection,Acute Ear Infection,Maambukizi ghafla ya maskio
QtBqSDM3YCN,QtBqSDM3YCN,Urinary Tract Infections,Urinary Tract Infections,Maambukizi katika mfumo wa mkojo
pZr0OzykmJB,pZr0OzykmJB,Upper Respiratory Infections,Upper Respiratory Infections,Maambukizi ya juu ya kupumua
NwzMLHAFMSC,NwzMLHAFMSC,Osteomyelitis,Osteomyelitis,Maambukizi ya mifupa
Q5AQcGLeh7y,Q5AQcGLeh7y,Sexually Transmitted Infection,Sexually Transmitted Infection,Maambukizi ya zinaa
WSaSCvJTnfQ,WSaSCvJTnfQ,STI Pelvic Inflammatory Diseases,STI Pelvic Inflammatory Diseases,"Maambukizi ya zinaa, uvimbe katika fupanyonga"
aruodm4tcnY,aruodm4tcnY,STI Genital Ulcer Diseases (GUD),STI Genital Ulcer Diseases (GUD),"Maambukizi ya zinaa, vidonda vya sehemu za siri"
W5GuP81V3Zf,W5GuP81V3Zf,STI Genital Discharge Syndrome (GDS),STI Genital Discharge Syndrome (GDS),"Maambukizi ya zinaa,kutokwa kwa sehemu za siri"
uAa5OgHFwud,uAa5OgHFwud,Influenza,Influenza,Mafua
zx2fEoXul5W,zx2fEoXul5W,Other Non-Infectious GIT Diseases,Other Non-Infectious GIT Diseases,Magonjwa mengine ya GIT yasiyo ambukizi
qwFz1atKnbC,qwFz1atKnbC,Other Cardiovascular Diseases,Other Cardiovascular Diseases,Magonjwa mengine ya moyo
Qhi9QXHzP9b,Qhi9QXHzP9b,Periodontal Diseases,Periodontal Diseases,Magonjwa ya fizi
anYwhLJV58B,anYwhLJV58B,"Eye Diseases, Non-Infectious","Eye Diseases, Non-Infectious",Magonjwa ya macho yasiyo ya kuambukiza
fYO2JUHPdul,fYO2JUHPdul,"Eye Diseases, Injuries","Eye Diseases, Injuries","Magonjwa ya macho,majeraha"
UlFUBEpJsSs,UlFUBEpJsSs,"Skin Diseases, Non-Infectious","Skin Diseases, Non-Infectious","Magonjwa ya ngozi, yasiyo ambukizi"
kzj3RYX536Y,kzj3RYX536Y,Gynaecological Diseases,Gynaecological Diseases,Magonjwa ya wanawake
Yut5amdi7iw,Yut5amdi7iw,Attendance,Attendance,Mahudhurio
DWWNT5pcrWf,DWWNT5pcrWf,Malaria BS +ve,Malaria BS +ve,Malaria BS +ve
NSYWPEpZBuY,NSYWPEpZBuY,Malaria mRDT +ve,Malaria mRDT +ve,Malaria mRDT +ve
MwnLlVZZJkU,MwnLlVZZJkU,Malaria In Pregnancy,Malaria In Pregnancy,Malaria wakati wa ujauzito
kmpnqbSQLBl,kmpnqbSQLBl,Malaria Clinical,Malaria Clinical,"Malaria, kliniki"
uyQpafHrxLT,uyQpafHrxLT,Mara ya Kwanza Kuhudhuria OPD Mwaka Huu ,First OPD visit this Year,Mara ya Kwanza Kuhudhuria OPD Mwaka Huu
a9Pxllofrpx,a9Pxllofrpx,"Mental conditions, Other","Mental conditions, Other",Maradhi mengine ya akili
Ivd9opj8WCi,Ivd9opj8WCi,Other Dental Conditions,Other Dental Conditions,Maradhi mengine ya meno
QvexV259cj2,QvexV259cj2,Other Surgical Condition,Other Surgical Condition,Maradhi mengine ya upasuaji
YzWIMlVnfxq,YzWIMlVnfxq,Pregnancy Complications,Pregnancy Complications,Matatizo ya ujauzito
c4ZuqcOCyix,c4ZuqcOCyix,Rheumatoid And Joint Diseases,Rheumatoid And Joint Diseases,Maumivu ya viungo
GQwVaLxM9Gs,GQwVaLxM9Gs,Intestinal Worms,Intestinal Worms,Minyoo
o0KObJuu9Yu,o0KObJuu9Yu,Fractures,Fractures,Mmivunjiko wa mifupa
SxNQQBphBOS,SxNQQBphBOS,Cataract,Cataract,Mtoto wa jicho
KlePTLpBdWd,KlePTLpBdWd,OPD repeat visits,OPD repeat visits,Mudhurio ya Marudio Katika OPD
VSb3ctsTz4z,VSb3ctsTz4z,HIV Positive,HIV Positive,Mwenye Virusi Vya Ukimwi
xsoXkeM69KC,xsoXkeM69KC,"Skin Infection, Non-Fungal","Skin Infection, Non-Fungal","Ngozi Maambukizi, yasiyo ya vimelea"
cGVl8WkpBTL,cGVl8WkpBTL,Neonatal Tetanus,Neonatal Tetanus,Pepopunda ya watoto wachanga
HWZmyu3j4NX,HWZmyu3j4NX,Bronchial Asthma,Bronchial Asthma,Pumu
EEeh0pyQISB,EEeh0pyQISB,Neoplasms/Cancer,Neoplasms/Cancer,Saratani
IJAImvSE7P6,IJAImvSE7P6,Neonatal Sepsis,Neonatal Sepsis,Sepsisi ya watoto wachanga
eoZtkUbfrmF,eoZtkUbfrmF,Hypertension,Hypertension,Shinikizo la damu
ShxnDczlruP,ShxnDczlruP,Poisoning,Poisoning,Sumu
HMEUM6T2dxF,HMEUM6T2dxF,Other Diagnosis,Other Diagnosis,Tambuzi nyingine
BwJsDwQayqN,BwJsDwQayqN,Plague,Plague,Tauni
hBSqV93WRL4,hBSqV93WRL4,Trachoma,Trachoma,Trakoma
YVOid8f091G,YVOid8f091G,Keratoconjunctivitis,Keratoconjunctivitis,Ugonjwa wa jicho kavu
Lcj8osNjKQx,Lcj8osNjKQx,"Nutritional Disorders, Other","Nutritional Disorders, Other","Ugonjwa wa lishe, nyingine"
RppK9y0dY08,RppK9y0dY08,Trypanosomiasis,Trypanosomiasis,Ugonjwa wa malale
fVzXb5qPrCp,fVzXb5qPrCp,Sickle Cell Disease,Sickle Cell Disease,Ugonjwa wa selimundu
pP6BsR5KiRM,pP6BsR5KiRM,Thyroid Diseases,Thyroid Diseases,Ugonjwa wa Tezi
hufCs1tU1gs,hufCs1tU1gs,Meningitis,Meningitis,Ugonjwa wa uti wa mgongo
jz1y4ru52rC,jz1y4ru52rC,Measles,Measles,Ukambi/ Surua
l1GL5Tmn22E,l1GL5Tmn22E,Leprosy,Leprosy,Ukoma
k3TGMJ3ru5y,k3TGMJ3ru5y,Onchocerciasis,Onchocerciasis,Upofu wa mto
avzBnVwWlV9,avzBnVwWlV9,Severe Anaemia ,Severe Anaemia ,Upungufu mkubwa wa damu
X0TXADJv7GA,X0TXADJv7GA,Mild/Moderate Anaemia,Mild/Moderate Anaemia,Upungufu wa damu
cUHWPSXirUl,cUHWPSXirUl,Vitamin A Deficiency,Vitamin A Deficiency,Upungufu wa Vitamini A
RlEchOC92Yr,RlEchOC92Yr,Marasmic Kwashiorkor,Marasmic Kwashiorkor,Utapiamlo mkali
CNzWVlVeOdx,CNzWVlVeOdx,Moderate Malnutrition,Moderate Malnutrition,Utapiamlo wastani
tM1ecc8qcsJ,tM1ecc8qcsJ,Substance Abuse,Substance Abuse,Utumiaji wa madawa ya kulevya
QhpE8F5apCj,QhpE8F5apCj,Dental Emergency Care,Dental Emergency Care,Utunzaji wa meno kwa dharura
Y7upeLGM36C,Y7upeLGM36C,Low Birth Weight And Prematurity Complication,Low Birth Weight And Prematurity Complication,Uzito chini ya kuzaliwa na matatizo ya kuzaliwa mapema
qoeOTJT0x6o,qoeOTJT0x6o,Peptic Ulcers,Peptic Ulcers,Vidonda vya tumbo
gNQ5NYT8SCz,gNQ5NYT8SCz,Fungal Infection - Non-Skin,Fungal Infection - Non-Skin,"Vimelea maambukizi, yasiyo ya ngozi"
wULlcm4Qj5S,wULlcm4Qj5S,Skin Infection - Fungal,Skin Infection - Fungal,Vimelea ngozi maambukizi
xCl76XUXHb9,xCl76XUXHb9,Viral Haemorrhagic Fevers,Viral Haemorrhagic Fevers,Virusi vya homa ya hemorajiki
ZbmHzUkeJbQ,ZbmHzUkeJbQ,ANC Waliopewa Iron/ Folic vidonge vya Kutosha,# of ANC attendees receiving adequate iron and folic acid tablets until next ANC visit,ANC Waliopewa Iron/ Folic vidonge vya Kutosha
WAdaCligbNP,WAdaCligbNP,ANC Umri wa mimba chini ya wiki 12 (< 12weeks),# of pregnant women who made first visit before 12 weeks gestation ,ANC Umri wa mimba chini ya wiki 12 (< 12weeks)
yqA1CfsfBHQ,yqA1CfsfBHQ,ANC Hudhurio la nne wajawazito wote,# of pregnant women with at least 4 ANC visits,ANC Hudhurio la nne wajawazito wote
RyNkn76uTJo,RyNkn76uTJo,ANC Wajawazito waliopata Chanjo ya TT2+,# of pregnant women immunized with Tetanus Toxoid Injections,ANC Wajawazito waliopata Chanjo ya TT2+
Zn1VXPl11BD,Zn1VXPl11BD,Nyongeza ya Vitamin A Watoto chini ya umri wa mwaka 1,# of children who received Vitamin A below 1 year of age,Nyongeza ya Vitamin A Watoto chini ya umri wa mwaka 1
Zn1VXPl11BD,Zn1VXPl11BD,Watoto Waliochanjwa Polio,# of children immunized with Polio Vaccination,Watoto Waliochanjwa Polio
V2ZzQl7dgVF,V2ZzQl7dgVF,Watoto Waliochanjwa Penta,# of children immunized with 3rd dose of PENTA,Watoto Waliochanjwa Penta
DPLR0aQemYC,DPLR0aQemYC,Waliozalishwa na Watoa Huduma Wenye Ujuzi,Deliveries Assisted by Skilled Health Attendant,Waliozalishwa na Watoa Huduma Wenye Ujuzi
Nd5BDnxVEP0,Nd5BDnxVEP0,Nyongeza ya Vitamin A Watoto umri zaidi ya mwaka 1 - 5,# of children who received Vitamin A between 1 year and 5 years of age ,Nyongeza ya Vitamin A Watoto umri zaidi ya mwaka 1 - 5